team_name,members
Commission on Superhuman Activities (Earth-616),"['Abner Jenkins (Earth-616)', 'Adrian Sammish (Earth-616)', 'Andrea Sterman (Earth-616)', 'Anne Marie Hoag (Earth-616)', 'B. LeTendre (Earth-616)', 'Brian Rinehart (Earth-616)', 'Carter Napier (Earth-616)', 'Dallas Riordan (Earth-616)', 'Douglas Rockwell (Earth-616)', 'General Standish (Earth-616)', 'Henry Gyrich (Earth-616)', 'Jack Kooning (Earth-616)', 'Jack Kubrick (Earth-616)', 'Jonathan Walker (Earth-616)', 'Julia Carpenter (Earth-616)', 'Lemar Hoskins (Earth-616)', 'Lewis Haywerth (Earth-616)', 'Michael Clemson (Earth-616)', 'Norman Osborn (Earth-616)', 'Raymond Sikorski (Earth-616)', 'Valerie Cooper (Earth-616)', 'Walsh (Earth-616)', 'Wesley Werner (Earth-616)']"
Spaceknights (Initiative) (Earth-616),[]
Vaducci Crime Family (Earth-616),"['John Vaducci (Earth-616)', 'Matthew Vaducci (Earth-616)', 'Paul Vaducci (Earth-616)', 'Peter Vaducci (Earth-616)', 'Vito Vaducci (Earth-616)']"
City Stealers (Earth-616),[]
Upward Path (Earth-616),"['Adjudicator (Earth-616)', 'Black Maria (Earth-616)', 'Difference Engine (Earth-616)', 'Witchbreaker (Earth-616)']"
Marchand Pharmaceuticals (Earth-616),"['Michael Marchand (Earth-616)', 'Rebecca Marchand (Earth-616)', 'Rose Roché (Earth-616)']"
Elite Guard (Earth-616),[]
Unwanted (Earth-616),"['Joseph (Unwanted) (Earth-616)', 'William Adams (Earth-616)']"
Nightriders (Earth-616),['Clay Riley (Earth-616)']
Arizona Nationalist Organization (Earth-616),[]
NEVELL (Earth-616),"['Janet Van Dyne (Earth-616)', 'Mr. Edwards (Earth-616)', 'Mr. Lloyd, Jr. (Earth-616)', 'Mr. Lloyd, Sr. (Earth-616)', 'Mr. Norris (Earth-616)']"
Hex-Men (Earth-616),"['Henry McCoy (Earth-616)', 'Kurt Wagner (Earth-91240)', 'Madelyne Pryor (Earth-91240)', 'Ororo Munroe (Earth-21710)']"
Silencers (Earth-616),[]
Proud Walkers (Earth-616),"['Bendigeidfran (Earth-616)', 'Bercilak de Hautdesert (Earth-616)', 'Herne (Earth-616)', 'Vortigen (Otherworld)']"
Legion of Liberty (Eurth) (Earth-616),[]
Legion of the Unliving (Vampires) (Earth-616),"['Boy-Thing (Earth-616)', 'Carpathian (Earth-616)', 'Kenneth Hale (Earth-616)', 'Lily Cromwell (Earth-616)', 'Rat Bomber (Earth-616)', 'Roberto Reyes (Earth-616)', 'Sarge (Hellhound) (Earth-616)', 'Snowsnake (Earth-616)', 'Xarus (Earth-616)']"
Office of National Emergency (Earth-616),"['Alexander Lexington (Earth-616)', 'Demetrius Lazer (Earth-616)', 'Doctor Senyaka (Earth-616)', 'James Rhodes (Earth-616)', 'Miguel Reyes (Earth-616)', 'Professor Cartwright (Earth-616)', 'Robert Callahan (Earth-616)', 'Ruth Bat-Seraph (Earth-616)', 'Valerie Cooper (Earth-616)']"
Barons (Street Gang) (Earth-616),['Cheech Beldone (Earth-616)']
National Crime Syndicate (Earth-616),"['Eddie Envers (Earth-616)', 'Honeysuckle Muldoon (Earth-616)', 'Louie Frenchetti (Earth-616)', 'One-Eye Lonigan (Earth-616)', 'Weasel (National Crime Syndicate) (Earth-616)']"
Shockwave Riders (Earth-616),"['Farahd (Earth-616)', 'Galadriel (Earth-616)', 'Gethrin (Earth-616)']"
Three Moons Gang (Earth-616),[]
League of Nations (Earth-616),[]
Lunatic Legion (Kree Survivors) (Earth-616),"['Bald Twins (Earth-616)', 'Bron Char (Earth-616)', 'Cha-Mont (Earth-616)', 'Ciry (Earth-616)', 'Clar-Roc (Earth-616)', 'Dor-Art (Earth-616)', 'Dylon-Cir (Earth-616)', 'Ept-Rass (Earth-616)', 'Jordann (Earth-616)', 'Klynn (Earth-616)', 'Kona Lor (Earth-616)', 'Rojett (Earth-616)', 'Sig-Rass (Earth-616)', 'Talla Ron (Earth-616)', 'Tallun (Earth-616)', 'Tokk (Earth-616)']"
Agency X (Earth-616),"['Agent X (Nijo) (Earth-616)', 'Anthony Masters (Earth-616)', 'Bob Dobalina (Earth-616)', 'Inez Temple (Earth-616)', 'Mary Zero (Mary) (Earth-616)', 'Sondra Brandenberg (Earth-616)', 'Wade Wilson (Earth-616)']"
Red Right Hand (Earth-616),"['Cannon Foot (Earth-616)', 'Fire Knives (Earth-616)', 'Founder (Red Right Hand) (Earth-616)', 'Lord Deathstrike (Earth-616)', 'Ninja (Red Right Hand) (Earth-616)', 'Old Woman (Red Right Hand) (Earth-616)', 'Roger (Red Right Hand) (Earth-616)', 'Saw Fist (Earth-616)', 'Shadowstalker (Earth-616)', 'Son (Red Right Hand) (Earth-616)', 'William Downing (Earth-616)']"
Indian Navy (Earth-616),[]
Daily Bugle (Front Line) (Earth-616),"['Benjamin Urich (Earth-616)', 'Caxton Ford (Earth-616)', 'Elizabeth Brant (Earth-616)', 'Gloria Grant (Earth-616)', 'Irene Merryweather (Earth-616)', 'Jennie Sheldon (Earth-616)', 'Joseph Robertson (Earth-616)', 'Katherine Farrell (Earth-616)', 'Nisa Contreras (Earth-616)', 'Norah Winters (Earth-616)', 'Patrick Healy (Earth-616)', 'Paula Crane (Earth-616)', 'Peter Parker (Earth-616)', 'Phillip Urich (Earth-616)', 'Rubylyn Bato (Earth-616)', 'Sally Floyd (Earth-616)', 'Samantha Chan (Earth-616)', 'Sarah Saulsby (Earth-616)']"
Saur-Lords (Earth-616),"['Allo (Earth-616)', 'Anky (Earth-616)', 'Bront (Earth-616)', 'Pter (Earth-616)', 'Styro (Earth-616)']"
Department of Internal Security (Earth-616),['Walter Johnson (Earth-616)']
Guardian Robots,[]
United States Army (Warp World) (Earth-616),"['Dum Dum Fury (Warp World) (Earth-616)', 'John Kaluu (Warp World) (Earth-616)', 'Morgan Erskine (Warp World) (Earth-616)', 'Stephen Rogers (Warp World) (Earth-616)']"
Vladivostok Mafia (Earth-616),"['Ignat Karamazov (Earth-616)', 'Karamazov Brothers (Earth-616)', 'Yuri Karamazov (Earth-616)']"
Scourge of the Underworld (Earth-616),"['Antony Diaz (Earth-616)', 'Bloodstain (Earth-616)', 'Dominic Dunsinane (Earth-616)', 'Jonathan Walker (Earth-616)', 'Kendra Louise Price (Earth-616)', 'Priscilla Lyons (Earth-616)', 'Scourge (Baccolo) (Earth-616)', 'Scourge (Decker) (Earth-616)', 'Scourge (Delazny) (Earth-616)', 'Scourge II (Earth-616)', 'Scourge III (Earth-616)', 'Scourge X (Earth-616)', 'Thomas Halloway (Earth-616)']"
Black Hawk Tribe (Earth-616),"['Thongor (Earth-616)', 'Thumithar (Earth-616)']"
Women Warriors (Earth-616),"['Cleopatra Nefertiti (Earth-616)', 'Quicksand (Nguyet) (Earth-616)', 'Rachel Leighton (Earth-616)', 'Sybil Dvorak (Earth-616)', 'Tanya Sealy (Earth-616)']"
Order of the Golden Dawn (Earth-616),['Zheng Zu (Earth-616)']
Mau Mau (Earth-616),[]
Iron Damsels (Earth-616),"['Kira (Iron Damsels) (Earth-616)', 'Lupara (Earth-616)', 'Marika (Iron Damsels) (Earth-616)', 'Persephone (Iron Damsels) (Earth-616)', 'Soraya (Earth-616)']"
X-Tracts (Age of X-Man) (Earth-616),"['Alison Blaire (Earth-616)', 'En Sabah Nur (Earth-616)', 'Evan Sabahnur (Earth-616)', 'Katherine Pryde (Earth-616)', 'Trevor Hawkins (Earth-616)', 'Unveil (Sharesse) (Age of X-Man) (Earth-616)']"
Cult of Hades (Earth-616),[]
Project Wideawake (Earth-616),"['Bolivar Trask (Earth-616)', 'Dominikos Petrakis (Earth-616)', 'Frank Bohannan (Earth-616)', 'Henry Gyrich (Earth-616)', 'John Ogilvie (Earth-616)', 'Robert Kelly (Earth-616)']"
Fish Brothers (Earth-616),[]
Wraithknights (Earth-616),[]
Court of King Perrus (Earth-616),['Kovad (Earth-616)']
New York Star (Earth-616),"['Mike Herald (Earth-616)', 'Saul Morris (Earth-616)']"
House of Jumbo Carnation (Earth-616),"[""Krystal M'Kraan (Earth-616)""]"
Burning Sons (Earth-616),[]
Cali Cartel (Earth-616),[]
Zodiac (Great Wheel) (Earth-616),"['Cornelius van Lunt (Earth-616)', 'Daniel Whitehall (Earth-616)', 'Jacob Fury (Earth-616)', 'Jonathan Garrett (Earth-616)', 'Leonardo da Vinci (Earth-616)', 'Nicholas Fury (Earth-616)', 'Shoji Soma (Earth-616)', 'Thomas Davidson (Earth-616)', 'Timothy Dugan (Earth-616)', 'Vasili Dassaiev (Earth-616)', 'Viktor Uvarov (Earth-616)', 'Wolfgang von Strucker (Earth-616)']"
Red Condors (Earth-616),[]
Trouble (Team) (Earth-616),"['Banca Rech (Earth-616)', 'Lomen (Earth-616)', 'Zzzax (Earth-616)']"
Anti-Spider Squad (Earth-616),"['Gannon (Earth-616)', 'Gary Groby (Earth-616)', 'John Jonah Jameson (Earth-616)']"
Black Ring (Earth-616),"['Aket-Atum (Earth-616)', 'Athyr-Bast (Earth-616)', 'Shu-Onoru (Earth-616)', 'Thoth-Amon (Earth-616)', 'Zula (Earth-616)']"
Donahue Development Board of Directors (Earth-616),"['G.B. (Earth-616)', 'Takeshi Kobayashi (Earth-616)']"
Skrull Pantheon (Earth-616),"['Amatsu-Mikaboshi (Earth-616)', ""Kly'bn (Earth-616)"", ""Sl'gur't (Earth-616)"", ""Zorr'Kiri (Earth-616)""]"
Outcasts (Gamma Creatures) (Earth-616),"['Ech (Earth-616)', 'Eeek (Earth-616)', 'Falco (Earth-616)', 'Gil (Outcasts) (Earth-616)', 'Iggo (Earth-616)', 'Kir (Earth-616)', 'Kkk-Kkk (Earth-616)', 'Rattilore (Earth-616)', 'Sting (Earth-616)', 'Vult (Earth-616)']"
Ladies of Sorrow (Earth-616),[]
Escape from New Jersey Experience (Earth-616),[]
Parasites (Earth-616),"['AC-DC (Earth-616)', 'Fern (Earth-616)', 'Giggles (Earth-616)', 'Hal (Warpies) (Earth-616)', 'James Christian (Earth-616)', 'Lump (Warpies) (Earth-616)', 'Moley (Warpies) (Earth-616)', 'Nettle (Earth-616)', 'Peeping Tom (Earth-616)', 'Quill (Warpies) (Earth-616)', 'Ramora (Earth-616)', 'Siren (Warpies) (Earth-616)', 'Snap (Warpies) (Earth-616)', 'Spasm (Earth-616)']"
50-State Initiative (Earth-616),"['Aaron Stack (Impostor) (Earth-616)', 'Abigail Boylen (Earth-616)', 'Abner Jenkins (Earth-616)', 'Aireo (Earth-616)', 'Ajaxis (Earth-616)', 'Alana Jobson (Earth-616)', 'Alexander Ellis (Earth-616)', 'Alexander Power (Earth-616)', 'Andrea Roarke (Earth-616)', 'Andreas von Strucker (Earth-616)', 'Ann Darnell (Earth-616)', 'Anthony Masters (Earth-616)', 'Anthony Stark (Earth-616)', 'Antonio Rodriguez (Earth-616)', 'Anya Corazon (Earth-616)', 'Aphrodite (CSA) (Earth-616)', 'Ares (Earth-616)', 'Ariana Diamante (Earth-616)', 'Arthur Parks (Earth-616)', 'Ashley Crawford (Earth-616)', 'Asylum (Initiative) (Earth-616)', 'Avery Allen (Earth-616)', 'Badd Axe (Earth-616)', 'Benjamin Grimm (Earth-616)', 'Blacksmith (Skrull) (Earth-616)', 'Blue Eagle (Earth-616)', 'Bonita Juarez (Earth-616)', 'Buchanan Mitty (Earth-616)', 'Buford Hollis (Earth-616)', 'Buford Hollis (Skrull) (Earth-616)', 'Bullseye (Lester) (Earth-616)', 'Carlos Carvalho (Earth-616)', 'Carlton Stricklan (Earth-616)', 'Carmilla Black (Earth-616)', 'Carol Danvers (Earth-616)', 'Cary Armstrong (Earth-616)', 'Cassandra Lang (Earth-616)', 'Cathy Webster (Earth-616)', 'Chen Lu (Earth-616)', 'Cleopatra Nefertiti (Earth-616)', 'Conquistador (Command) (Earth-616)', 'Conquistador II (Command) (Earth-616)', 'Conrad Mack (Earth-616)', 'Cooper Roth (Earth-616)', 'Craig Hollis (Earth-616)', 'Criti Noll (Clone) (Earth-616)', 'Criti Noll (Earth-616)', 'Daniel Leighton (Earth-616)', 'Danielle Moonstar (Earth-616)', 'Darell Paine (Earth-616)', 'David Cannon (Earth-616)', 'Deborah Fields (Earth-616)', 'Delilah Dearborn (Earth-616)', 'Delroy Garrett Jr. (Earth-616)', 'DeMarr Davis (Earth-616)', 'Dennis Dunphy (Earth-616)', 'Dennis Murray (Earth-616)', 'Devil Dinosaur (Skrull) (Earth-616)', 'Donald Gill (Earth-616)', 'Doreen Green (Earth-616)', 'Drew Daniels (Earth-616)', 'Duc No Tranh (Earth-616)', 'Dwight Hubbard (Earth-616)', 'Ebenezer Laughton (Earth-616)', 'Edward Black Wolf (Earth-616)', 'Elias Wirtham (Earth-616)', 'Elizabeth Bondi (Earth-616)', 'Elsa Bloodstone (Earth-616)', 'Elvin Haliday (Earth-616)', 'Emery Schaub (Earth-616)', 'Eric Brooks (Earth-616)', 'Eric Conroy (Earth-616)', ""Eric O'Grady (Earth-616)"", 'Eric Payne (Earth-616)', 'Erik Josten (Earth-616)', 'Erika Kelley (Earth-616)', 'Eugene Mason (Earth-616)', 'Eugene Patilio (Earth-616)', 'Eugene Patilio (Skrull) (Earth-616)', 'Fahnbullah Eddy (Earth-616)', 'Fifty-One (Earth-616)', 'Fin (Intruders) (Earth-616)', 'Firearms (Earth-616)', 'Frank Johnson (Earth-616)', 'Frank Payne (Earth-616)', 'Frederick Myers (Earth-616)', 'George Smith (Earth-616)', 'Georges Batroc (Earth-616)', 'Gray Russell (Earth-616)', 'Greer Grant (Earth-616)', 'Greg Willis (Earth-616)', 'Griffin Gogol (Earth-616)', 'Gustav Krueger (Earth-616)', 'Hamilton Slade (Rider) (Earth-616)', 'Heidi Franklin (Earth-616)', 'Henry Gyrich (Earth-616)', 'Henry Hellrung (Earth-616)', 'Henry McCoy (Earth-616)', 'Hercules (CSA) (Earth-616)', 'Hijack (Earth-616)', 'Howard Duckson (Earth-791021)', 'Humberto Lopez (Earth-616)', 'Input (Earth-616)', 'Isaac Christians (Earth-616)', 'Jack Pierce (Iceberg) (Earth-616)', 'Jalome Beacher (Earth-616)', 'Jamal Peoples (Earth-616)', 'James Darnell (Earth-616)', 'James Rhodes (Earth-616)', 'James Santini (Earth-616)', 'James Sharp (Earth-616)', 'James Wa (Earth-616)', 'Janet Van Dyne (Earth-616)', 'Jennifer Burke (Earth-616)', 'Jennifer Kale (Earth-616)', 'Jocasta Pym (Earth-616)', 'John Hashimoto (Earth-616)', 'John Kelly (Earth-616)', 'Johnathon Gallo (Earth-616)', 'Jonathan Garrett (Earth-616)', 'Joseph Cartelli (Earth-616)', 'Joseph Green (Earth-616)', 'Josephine Tyler (Earth-616)', 'Julio Richter (Earth-616)', 'Junior Guardsmen (Earth-616)', 'Karla Sofen (Earth-616)', 'Katrina van Horn (Earth-616)', 'Keith Kraft (Earth-616)', ""Khn'nr (Earth-616)"", 'Klaus Voorhees (Earth-616)', 'Kyle Richmond (Earth-616)', 'Lancaster Sneed (Earth-616)', 'Leonard Samson (Earth-616)', 'Lincoln Slade (Earth-616)', 'Lobo (Skrull) (Earth-616)', 'Lucas Bishop (Earth-1191)', 'Lucy Cervantes (Earth-616)', 'Magdalena Neuntauben (Earth-616)', 'Magnitude (Earth-616)', 'Malcolm Murphy (Earth-616)', 'Manuel Vicente (Earth-616)', 'Marcus Daniels (Earth-616)', 'Maria Vasquez (Earth-616)', 'Mark Todd (Earth-616)', 'Martha Franklin (Earth-616)', 'Mary Walker (Earth-616)', 'Matthew Hawk (Earth-616)', 'Maximillian Zaran (Earth-616)', 'Maya Lopez (Earth-616)', 'Melati Kusuma (Earth-616)', 'Melee (Earth-616)', 'Melissa Gold (Earth-616)', 'Michael Steel (Earth-616)', 'Michael van Patrick (Earth-616)', 'Michael van Patrick (Michael) (Earth-616)', 'Michael van Patrick (Patrick) (Earth-616)', 'Michael van Patrick (Van) (Earth-616)', 'Miguel Santos (Earth-616)', 'Miles Flatt (Earth-616)', 'Milo Fields (Earth-616)', 'Milos Masaryk (Earth-616)', 'Min Li Ng (Earth-616)', 'Mongoose (Earth-616)', 'Mulholland Black (Earth-616)', 'Natalia Romanova (Earth-616)', 'Norbert Ebersol (Earth-616)', 'Norman Osborn (Earth-616)', 'Paladin (Earth-616)', 'Pamela Pierce (Earth-616)', 'Parker Robbins (Earth-616)', 'Patricia Walker (Earth-616)', 'Patrick Mulligan (Earth-616)', 'Paydirt (Earth-616)', 'Peter van Zante (Earth-616)', 'Physique (Earth-616)', 'Piotr Rasputin (Earth-616)', 'Prima Donna (Earth-616)', 'Proton (Geldoff) (Earth-616)', 'Quicksand (Nguyet) (Earth-616)', 'Rachel Leighton (Earth-616)', 'Ragnarok (Earth-616)', 'Rebecca Ryan (Earth-616)', 'Reed Richards (Earth-616)', 'Revolutionary (Skrull) (Earth-616)', 'Richard Gilmore (Earth-616)', 'Richard Sheridan (Earth-616)', 'Robert Baldwin (Earth-616)', 'Robert Baldwin (Earth-8101)', 'Robert Farrell (Earth-616)', 'Roger Brokeridge (Earth-616)', 'Ruth Bat-Seraph (Earth-616)', 'Scarlet Fasinera (Earth-616)', 'Scarlet Spiders (Earth-616)', 'Scott Washington (Earth-616)', 'Scott Wright (Earth-616)', 'Sharon Ventura (Skrull) (Earth-616)', 'Silhouette Chord (Earth-616)', 'Simon Utrecht (Earth-616)', 'Simon Williams (Earth-616)', 'Sleepwalker (Earth-616)', 'Spinner (Earth-616)', 'Star Sign (Earth-616)', 'Steven Brooks (Earth-616)', 'Steven Harmon (Earth-616)', 'Steven Hudak (Earth-616)', 'Susan Storm (Earth-616)', 'Suzi Endo (Earth-616)', 'Sybil Dvorak (Earth-616)', 'Tako Shamara (Earth-616)', 'Tanya Sealy (Earth-616)', 'Tarene (Earth-616)', 'Tarene (Skrull) (Earth-616)', 'Terraformer (Force of Nature) (Earth-616)', 'Terrance Sorenson (Earth-616)', 'Terrance Sorenson (Skrull) (Earth-616)', 'Terrance Ward (Earth-616)', 'Theodore Altman (Earth-721)', 'Theodore Scott (Earth-616)', 'Think Tank (Earth-616)', 'Thomas Fireheart (Earth-616)', 'Thomas Sorenson (Earth-616)', 'Tippy-Toe (Earth-616)', 'Tsu-Zana (Earth-616)', 'U-Foes (Earth-616)', 'Val Ventura (Earth-616)', 'Valerie Martin (Earth-616)', 'Vampiro (Larcenous Three) (Earth-616)', 'Vance Astrovik (Earth-616)', 'Venom (Symbiote) (Earth-616)', 'Victoria Star (Earth-616)', 'Violet Lightner (Earth-616)', 'Virginia Potts (Earth-616)', 'Vox (Action Pack) (Earth-616)', 'Wade Wilson (Earth-616)', 'Wallace Jackson (Earth-616)', 'Walter Newell (Earth-616)', 'Wernher von Blitzschlag (Earth-616)', 'Whiz Kid (Earth-616)', 'William Kaplan (Earth-721)', 'William Talltrees (Earth-616)', 'William Waring (Earth-616)', 'Winston Manchester (Earth-616)', 'Winston Manchester (Skrull) (Earth-616)', 'Wundarr (Earth-616)', ""Z'Reg (Earth-616)""]"
Bantu Tribe (Earth-616),"['Lalei (Earth-616)', 'Waku (Earth-616)']"
Society of Higher Interstellar Education and Logistical Development (Earth-616),"['Chlreee (Earth-616)', 'Cmar Har (Earth-616)', 'Hji (Earth-616)', 'Yoof (Earth-616)']"
Canadian Armed Forces (Earth-616),"['Arthur Barrington (Earth-616)', 'Brian Winslow (Earth-616)', 'Colin Hume (Earth-616)', 'Colin Richard (Earth-616)', 'Jeremy Clarke (Earth-616)']"
Four Winds (Elektra Foes) (Earth-616),"['East Wind (Earth-616)', 'North Wind (Earth-616)', 'South Wind (Earth-616)', 'West Wind (Earth-616)']"
North Korean Deadpool/X-Men Mutates (Earth-616),"['Banshee (North Korean Mutate) (Earth-616)', 'Cyclops (North Korean Mutate) (Earth-616)', 'Kim (North Korean Mutate) (Earth-616)', 'Lee (North Korean Mutate) (Earth-616)', 'Park (Earth-616)', 'Storm (North Korean Mutate) (Earth-616)', 'Sunfire (North Korean Mutate) (Earth-616)', 'Thunderbird (North Korean Mutate) (Earth-616)']"
Palandorians (Earth-616),['Omell (Earth-616)']
People (Earth-616),"['Ezekiel Stane (Earth-616)', 'Kwabena Ware (Earth-616)', 'Tetu (Earth-616)', 'Zenzi (Earth-616)']"
Battle-Axis (Earth-616),"['Aarkus (Earth-616)', ""Duke O'Dowd (Earth-616)"", 'Elias Schleigal (Earth-616)', 'Jacob Goldstein (Earth-616)', 'James Bradley (Earth-616)', 'Percy van Norton (Earth-616)', 'Shannon Kane (Earth-616)', 'Volton (Earth-616)']"
Slayers Elite (Earth-616),"['Jou-Jouka (Earth-616)', 'Kareesh-Bek (Earth-616)', 'Marlene Alraune (Earth-616)', 'Sumaro (Earth-616)']"
Lightbringr (Earth-616),['Alison Blaire (Earth-616)']
Runaways (Earth-616),"['Alex Wilder (Earth-616)', 'Chase Stein (Earth-616)', 'Gertrude Yorkes (Earth-616)', 'Gib (Earth-616)', 'Karolina Dean (Earth-616)', 'Klara Prast (Earth-616)', 'Leapfrog (A.I.) (Earth-616)', 'Leapfrog (Vehicle)', 'Molly Hayes (Earth-616)', 'Nico Minoru (Earth-616)', 'Old Lace (Earth-TRN846)', 'Rufus (Cat) (Earth-616)', 'Topher (Earth-616)', 'Victor Mancha (Earth-616)', 'Xavin (Earth-616)']"
Nebraska Initiative (Earth-616),"['Cooper Roth (Earth-616)', 'Griffin Gogol (Earth-616)', 'Lucy Cervantes (Earth-616)']"
Deathwalkers (Earth-616),[]
Null-Trons (Earth-616),[]
At'La'Tique (Earth-616),[]
Trust (Earth-616),"['Alex Alaric (Earth-616)', 'Angela (Trust) (Earth-616)', 'Jerome Gerty (Earth-616)', 'Joey Sabo (Earth-616)', 'Marcus Coriander (Earth-616)', 'Nolo Contendre (Earth-616)', 'Texas (Trust) (Earth-616)', 'Tommy (Trust) (Earth-616)', 'William Russo (Earth-616)']"
Shadowmasters (Earth-616),"['Hatsu Yakamoto (Earth-616)', 'Iris Green (Earth-616)', 'James Richards (Earth-616)', 'Katherine Yakamoto (Earth-616)', 'Manzo (Earth-616)', 'Philip Richards (Earth-616)', 'Rikichi (Earth-616)', 'Shigeru Ezaki (Earth-616)', 'Sojin Ezaki (Earth-616)', 'Yuriko Ezaki (Earth-616)']"
China Force (Earth-616),"['Dei Guan (Earth-616)', 'Dog (China Force) (Earth-616)', 'Horse (China Force) (Earth-616)', 'Jimon Tang (Earth-616)', 'Monkey (China Force) (Earth-616)', 'Ox (China Force) (Earth-616)', 'Rabbit (China Force) (Earth-616)', 'Rat (China Force) (Earth-616)', 'Snake (China Force) (Earth-616)', 'Zhao Tang (Earth-616)']"
Howling Commandos (S.H.I.E.L.D.) (Earth-616),"['Abominable Snowman (Howling Commandos) (Earth-616)', 'Clay Quartermain (Earth-616)', 'Daimon Hellstrom (Earth-616)', 'Dragoom (Earth-616)', 'Eric Brooks (Earth-616)', 'Fangu (Earth-616)', ""Frankenstein's Monster (Clone) (Earth-616)"", 'Golden Gator (Earth-616)', 'Golem (Statue) (Earth-616)', 'Goom (Earth-616)', 'Gorgolla (Earth-616)', 'Grogg (Earth-616)', 'Groot XXCVII (Earth-616)', 'Hit-Monkey (Earth-616)', 'It the Living Colossus (Earth-616)', 'Jamie Carlson (Earth-616)', 'Jasper Sitwell (Earth-616)', 'Jericho Drumm (Earth-616)', 'John Jonah Jameson III (Earth-616)', 'Joseph Timms (Earth-616)', 'Joshua Farkas (Earth-616)', 'Joshua Pryce (Earth-616)', 'Kenneth Hale (Earth-616)', 'Kraa (Wabuzi) (Earth-616)', 'Lilith Drake (Earth-616)', 'Manphibian (Earth-616)', 'Martin Reyna (Earth-616)', ""N'Kantu (Earth-616)"", 'Nadeen Hassan (Earth-616)', 'Nina Price (Earth-616)', 'Orrgo (Earth-616)', 'Telesti (Otherworld)', 'Theodore Sallis (Earth-616)', 'Timothy Dugan (Earth-616)', 'Vic Marcus (Earth-616)', 'Walter Langkowski (Earth-616)', 'Zombie (Howling Commandos) (Earth-616)']"
X-Statix (Earth-616),"['Arlo Summers (Earth-616)', 'Arnold Lundberg (Earth-616)', 'Axel Cluney (Earth-616)', 'Battering Ram (Earth-616)', 'Beckah Parker (Earth-616)', 'Byron Spencer (Earth-616)', 'Coach (Earth-616)', 'Darian Elliott (Earth-616)', 'Dead Girl (Moonbeam) (Earth-616)', 'Dee Milo (Earth-616)', 'Derek Zheng (Earth-616)', 'Doop (Earth-616)', 'Edith Sawyer (Earth-616)', 'Guy Smith (Earth-616)', 'Henrietta Hunter (Earth-616)', 'James Hutchinson (Earth-616)', 'Joshua McMahan (Earth-616)', 'Katie Sawyer (Earth-616)', 'Matt Corbin (Earth-616)', 'Michael Alicar (Earth-616)', 'Mickey Tork (Earth-616)', 'Myles Alfred (Earth-616)', 'Phatty (Earth-616)', 'Pierre Truffaut (Earth-616)', 'Plazm (Earth-616)', 'Robbie Rodriguez (Earth-616)', 'Rodrigo de Smith (Earth-616)', 'Roja Sanford (Earth-616)', 'Saint Anna (Anna) (Earth-616)', 'Shane McNichols (Earth-616)', 'Spike (Freeman) (Earth-616)', 'Thomas Williams (Earth-616)', 'Tike Alicar (Earth-616)', 'Timmy Glenn (Earth-616)', 'William Robert Reilly (Earth-616)', 'Woodstock Schumaker (Earth-616)']"
Chernayan Army (Earth-616),"['Armand Petrov (Earth-616)', 'Timur (Earth-616)']"
Karnelli Family (Earth-616),"['Ando Karnelli (Earth-616)', 'Bruno Karnelli (Earth-616)', 'Carmine Karnelli (Earth-616)', 'Joe Karnelli (Earth-616)', 'Robert Karnelli (Earth-616)', 'Vincenzo Karnelli (Earth-616)']"
Kalkhimithians (Earth-616),[]
White Lotus Society (Earth-616),[]
Lion Cult (Earth-616),[]
Dísir (Earth-616),"['Brün (Earth-616)', 'Göndul (Earth-616)', 'Hlökk (Earth-616)', 'Kára (Earth-616)']"
Oogla Tribe (Earth-616),"['Cole (Neanderthal) (Earth-616)', 'Gort (Neanderthal) (Earth-616)', 'Jana (Neanderthal) (Earth-616)', 'One-Eye (Neanderthal) (Earth-616)', 'Tres (Neanderthal) (Earth-616)']"
Marauders (Outlaws) (Earth-616),[]
Light Elf Rifle Brigade (Earth-616),"['Aelsa Featherwine of the Fay (Earth-616)', 'Ivory Honeyshot (Earth-616)']"
Defense Advanced Research Projects Agency (Earth-616),"['Clayton Wilson (Earth-616)', 'Forge (Earth-616)', 'Palmer Addley (Earth-616)', 'Raven Darkholme (Earth-616)']"
Pym Laboratories (Earth-616),"['Alexis Miranda (Earth-616)', 'Amber Silverstein (Earth-616)', 'Barbara Morse (Earth-616)', 'Brilliance (Justine) (Earth-616)', 'Hellen Feliciano (Earth-616)', 'Henry Pym (Earth-616)', 'Janet Van Dyne (Earth-616)', 'Janos Trovaya (Earth-616)', 'Jeanne Foucault (Earth-616)', 'Maria Trovaya (Earth-616)', 'Marian Pouncy (Earth-616)', 'Nadia Van Dyne (Earth-616)', 'Priscilla LaShayla Smith (Earth-616)', 'Priya Aggarwal (Earth-616)', 'Taina Miranda (Earth-616)', 'Ying Liu (Earth-616)']"
Children of the Night (Earth-616),['Vlad Dracula (Earth-616)']
New Immortals (Earth-616),"['Juvan (Earth-616)', 'Nobilus (Earth-616)', 'Recorder 211 (Earth-616)', 'Tagar (Earth-616)', 'Zon (Earth-616)']"
Waiters (Earth-616),[]
Black Host (Earth-616),"['Emmael (Earth-616)', 'Vraniel (Earth-616)', 'Zadkiel (Earth-616)']"
Nazombies (Earth-616),[]
Terrible Trio (Earth-616),"['Bull Brogin (Earth-616)', 'Condor (Bird People) (Earth-616)', 'Harry Phillips (Earth-616)', 'Yogi Dakor (Earth-616)']"
